cust_no,  cust_name,  street,  number,  town,  post_code,  cr_limit,  curr_balance
1,  'ChocoLovers AE',  'Ermou',  12,  'Αθήνα',  10563,  10000.0,  5000.0
2,  'SweetXanthi Ltd',  'Miaouli',  5,  'Ξάνθη',  67100,  8000.0,  9500.0
3,  'NoOrder Bakery',  'Venizelou',  1,  'Θεσσαλονίκη',  54624,  5000.0,  0.0
4,  'Αμπατζιάνης-Μπότης και Καλαμάρα',  'Αρσενάκη',  257,  'Λιβαδιά',  35274,  18557.13,  1799.96
5,  'Καρυδά-Σπορδιλής',  'Πολέμη',  4,  'Κέρκυρα',  75147,  20949.59,  14899.39
6,  'Διαμαντής-Τυμβίου Ο.Ε.',  'Μαγούλας',  226,  'Θεσσαλονίκη',  28552,  8939.75,  3026.11
7,  'Μαυρομμάτης Α.Β.Ε.Ε.',  'Πλ. Παγκρατίου',  201,  'Αλεξανδρούπολη',  72748,  16330.44,  15034.12
8,  'Ξενάκη Α.Β.Ε.Ε.',  'Ακραιφνίου',  142,  'Μυτιλήνη',  76587,  6543.56,  3362.49
9,  'Καπετάνιος-Παπαδάκης Ο.Ε.',  'Πάροδος Γαλατάδων',  204,  'Ηγουμενίτσα',  20950,  3638.33,  3164.1
10,  'Μοσχοβάκη Ξένου και Τσώτσης',  'Αγίου Νικολάου',  269,  'Κόρινθος',  33931,  11292.17,  12805.16
11,  'Βασιλείου Α.Ε.',  'Πλατεία Πετριτσίου',  13,  'Αλεξανδρούπολη',  46967,  14694.52,  7404.49
12,  'Παργανάς Α.Β.Ε.Ε.',  'Λεήμονα',  287,  'Χίος',  34737,  13679.85,  10771.93
13,  'Κατσίπης-Ζαρειφοπούλου',  'Μυροφύλλου',  271,  'Σπάρτη',  65669,  19657.75,  4485.55
14,  'Πάνου-Δουβρόπουλος και υιοί',  'Κυμίνων',  90,  'Ηράκλειο',  44341,  21539.29,  12476.15
15,  'Τσαμτσούρη και υιοί',  'Βόλβης',  73,  'Κατερίνη',  55536,  17370.5,  17813.0
16,  'Βαρσάμου Καραμάνος και Ξανθοπούλου',  'Νιφοραιίκων',  239,  'Ναύπλιο',  53026,  12721.51,  1799.0
17,  'Κονιδάρης-Μίχος Α.Ε.',  'Κορομπόκη',  83,  'Ρόδος',  11565,  5139.79,  1575.82
18,  'Χατζησαββίδης-Παρασκευά Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ',  'Ακραιφνίου',  193,  'Καστοριά',  69444,  3753.91,  2205.01
19,  'Ζυγούρης-Αξαόπουλος',  'Πλατεία Βασιλικής',  252,  'Χανιά',  52258,  15910.74,  2953.61
20,  'Αξιώτης-Χουχουλής',  'Πάρ. Ποταμιών',  19,  'Κομοτηνή',  94826,  14078.71,  13264.07
21,  'Φανουργάκης Ο.Ε.',  'Τροπαίων',  162,  'Έδεσσα',  73565,  22313.19,  23384.67
22,  'Χατζησάββας-Ιντζές',  'Αμπέλου',  185,  'Πύργος',  63093,  24037.05,  15349.99
23,  'Συμεωνίδου Α.Ε.',  'Λυγιά',  177,  'Μεσολόγγι',  44845,  15520.5,  1539.55
24,  'Πανταζής Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ',  'Δάφνη',  216,  'Βόλος',  46329,  18679.67,  8701.28
25,  'Φιλιάγκου Αδαμοπούλου και Αποστολίδου',  'Αμαρουσίου',  13,  'Λευκάδα',  43803,  13437.7,  5666.78
26,  'Φιλιάγκου Α.Β.Ε.Ε.',  'Λιούκα',  49,  'Καβάλα',  48073,  20395.39,  6436.32
27,  'Κούτρης Α.Ε.',  'Κεράς',  164,  'Πύργος',  22871,  9116.33,  8383.11
28,  'Τσότρας Βαμβουκάκη και Ιωσηφίδου',  'Κουτουζίδου',  217,  'Χανιά',  34445,  18673.47,  13523.61
29,  'Σπορδιλής Α.Ε.',  'Λεωφ. Καλογριανής',  249,  'Φλώρινα',  63373,  18197.82,  9315.67
30,  'Μουτουσίδης Ο.Ε.',  'Αγιωργιτίκων',  41,  'Βόλος',  20385,  19168.31,  20100.1
31,  'Καλογιαννάκη-Νταβάς',  'Καφαντάρη',  24,  'Σπάρτη',  75152,  22926.26,  20542.23
32,  'Τσαμπούρη-Δήμου',  'Πλατεία Νιγρίτης',  279,  'Αγ. Νικόλαος',  53470,  13418.71,  2696.78
33,  'Καραγρηγορίου-Γιακαμόζη Α.Β.Ε.Ε.',  'Μιλέα',  76,  'Λαμία',  96092,  18359.31,  8984.01
