order_no,order_date,cust_no
101,'15-04-2025',1
102,'10-06-2025',4
103,'20-01-2024',1
104,'12-08-2025',2
105,'10-05-2025',5
106,'20-05-2025',5
107,'05-04-2024',4
108,'15-06-2025',
109,'21-06-2024',889
110,'06-06-2023',858
111,'24-01-2024',638
112,'07-06-2024',961
113,'02-12-2023',439
114,'09-05-2024',350
115,'29-03-2023',387
116,'04-03-2024',824
117,'27-06-2024',134
118,'20-05-2024',674
119,'15-11-2025',163
120,'24-05-2025',415
121,'17-07-2023',195
122,'24-02-2025',107
123,'05-10-2025',277
124,'08-12-2025',98
125,'30-07-2025',67
126,'14-01-2023',141
127,'14-11-2024',368
128,'23-11-2023',219
129,'19-04-2024',435
130,'14-12-2024',751
131,'28-09-2024',525
132,'21-02-2024',632
133,'14-06-2025',285
134,'09-07-2023',58
135,'02-05-2023',330
136,'30-11-2024',742
137,'29-11-2024',238
138,'27-12-2025',21
139,'11-06-2025',397
140,'16-11-2023',7
141,'19-08-2023',483
142,'23-05-2023',518
143,'10-05-2024',154
144,'19-01-2023',65
145,'22-08-2023',155
146,'14-05-2023',901
147,'19-06-2025',10
148,'12-08-2024',377
149,'04-05-2025',839
150,'23-06-2025',245
151,'16-04-2025',928
152,'20-08-2025',505
153,'17-09-2024',424
154,'24-05-2025',609
155,'07-05-2024',430
156,'24-02-2025',12
157,'13-12-2024',89
158,'13-03-2025',192
159,'24-06-2023',692
160,'22-04-2025',923
161,'26-03-2024',9
162,'16-09-2024',410
163,'27-10-2025',662
164,'01-05-2023',789
165,'03-08-2024',319
166,'16-08-2024',300
167,'25-08-2024',11
168,'19-11-2023',674
169,'29-05-2024',712
170,'27-08-2024',846
171,'14-01-2024',19
172,'02-01-2023',109
173,'30-06-2025',890
174,'22-07-2025',543
175,'22-10-2025',461
176,'12-06-2025',321
177,'14-02-2025',128
178,'22-04-2023',917
179,'07-05-2025',802
180,'17-04-2024',231
181,'05-01-2023',800
182,'07-06-2023',884
183,'18-02-2025',345
184,'11-07-2023',114
185,'23-04-2023',444
186,'09-01-2024',854
187,'26-02-2024',916
188,'27-11-2025',292
189,'09-04-2024',602
190,'26-08-2024',778
191,'02-03-2024',957
192,'30-06-2024',968
193,'26-04-2023',806
194,'18-11-2025',516
195,'04-11-2025',429
196,'04-08-2024',316
197,'07-09-2023',362
198,'22-08-2025',744
199,'26-02-2024',515
200,'16-03-2023',958
201,'26-10-2024',532
202,'02-01-2024',236
203,'03-04-2024',89
204,'09-12-2024',263
205,'20-09-2024',454
206,'26-11-2023',826
207,'17-02-2023',83
208,'01-08-2023',256
209,'02-06-2023',382
210,'19-11-2023',614
211,'27-04-2023',758
212,'15-03-2023',229
213,'13-07-2023',41
214,'16-01-2023',265
215,'21-09-2023',303
216,'29-10-2025',237
217,'18-06-2025',754
218,'29-07-2024',117
219,'14-04-2023',841
220,'15-03-2023',45
221,'07-02-2025',965
222,'20-07-2024',317
223,'08-12-2025',221
224,'26-06-2023',250
225,'18-12-2025',698
226,'12-03-2023',303
227,'03-11-2025',803
228,'24-05-2023',178
229,'22-10-2023',750
230,'23-05-2025',935
231,'26-07-2025',275
232,'07-08-2025',216
233,'25-06-2024',404
234,'03-05-2023',946
235,'24-05-2023',403
236,'16-09-2025',468
237,'10-03-2025',44
238,'11-03-2025',253
239,'24-12-2023',73
240,'01-01-2023',256
241,'05-11-2025',767
242,'17-12-2025',258
