order_no,prod_code,order_qty,order_price
101,1001,50,15.0
102,1002,2000,18.0
103,1001,100,15.0
104,1005,20,18.0
105,1004,50,12.0
106,1004,30,12.0
107,1003,400,10.0
108,1002,50,20.0
109,1094,14,13.56
110,1003,197,10.0
110,1065,176,34.31
110,1060,45,41.78
110,1004,81,12.0
111,1029,176,10.19
111,1066,94,11.31
111,1081,184,10.06
111,1034,59,23.56
112,1083,171,5.78
112,1026,124,10.16
112,1045,245,26.23
112,1077,92,18.06
112,1081,209,11.2
113,1093,100,33.49
113,1098,146,43.36
113,1100,237,25.9
113,1089,232,30.08
113,1091,179,19.93
114,1086,25,43.45
114,1094,178,13.56
114,1067,62,29.2
114,1052,128,15.5
115,1017,54,41.34
115,1021,118,35.44
115,1007,126,28.42
115,1008,36,24.79
115,1036,144,18.5
116,1067,139,29.2
116,1092,22,44.98
117,1086,250,43.45
117,1042,209,24.32
117,1095,214,28.95
118,1079,38,15.96
118,1078,141,26.78
118,1038,50,13.88
119,1052,109,18.87
119,1061,13,11.23
119,1085,136,24.91
120,1083,23,7.16
120,1065,133,34.31
120,1071,165,10.24
120,1009,40,6.37
120,1061,100,9.09
121,1067,214,29.2
121,1064,158,38.32
121,1020,138,9.68
122,1067,28,29.2
122,1050,137,7.66
122,1028,167,32.0
122,1045,118,26.23
123,1095,136,28.95
123,1056,159,26.23
123,1097,36,16.79
123,1014,142,36.36
124,1033,247,40.15
124,1006,190,18.63
125,1053,176,25.21
126,1076,192,42.29
126,1037,153,29.2
126,1093,129,27.44
126,1015,236,30.87
126,1034,86,23.56
127,1091,153,19.93
128,1031,140,44.18
128,1063,122,10.82
128,1006,68,20.98
128,1035,96,11.31
129,1069,216,32.19
129,1044,214,26.79
129,1034,53,23.56
129,1032,162,36.52
129,1006,237,20.98
130,1070,247,11.57
130,1056,122,21.94
131,1038,21,13.88
131,1033,110,33.39
131,1036,34,22.32
132,1025,237,14.15
132,1002,26,20.0
132,1076,69,42.29
132,1005,106,18.0
132,1080,76,22.84
133,1055,211,8.72
134,1026,119,10.82
134,1088,132,40.13
135,1087,57,44.97
135,1006,106,20.98
135,1031,50,44.18
135,1035,189,9.66
135,1055,141,10.62
136,1007,181,28.42
137,1074,32,13.47
137,1017,206,41.34
137,1073,127,17.87
137,1021,162,35.44
137,1097,79,16.79
138,1062,183,32.58
138,1084,102,30.52
139,1099,79,8.18
140,1034,159,23.56
140,1060,238,41.78
140,1033,88,40.15
140,1084,54,30.52
140,1045,117,26.23
141,1099,143,8.18
141,1065,132,34.31
141,1037,192,29.2
141,1044,30,33.29
141,1091,78,18.71
142,1014,167,36.36
142,1068,235,28.28
143,1072,194,40.0
144,1019,119,44.68
144,1081,61,11.2
144,1035,125,11.31
145,1051,36,10.64
145,1050,71,6.14
145,1084,237,26.14
145,1042,231,24.32
146,1063,166,10.82
147,1043,51,6.02
147,1070,87,11.57
147,1071,184,10.24
147,1080,111,22.84
148,1057,81,36.06
148,1085,89,24.91
148,1032,82,36.52
148,1046,145,14.63
148,1043,86,6.02
149,1019,227,41.47
149,1056,203,26.23
149,1060,94,41.78
150,1076,49,42.29
150,1001,200,15.0
150,1043,27,6.02
150,1083,131,7.16
151,1004,86,12.0
151,1088,46,40.13
152,1076,15,42.29
152,1028,49,32.0
152,1039,58,19.84
153,1052,47,16.41
153,1003,242,10.0
153,1012,201,34.7
153,1026,94,9.36
154,1056,193,26.23
154,1100,82,25.9
155,1071,94,10.24
155,1004,250,12.0
155,1030,186,38.96
155,1048,206,14.85
156,1024,49,9.32
156,1050,237,6.76
156,1080,241,22.84
157,1099,162,8.18
157,1082,222,33.79
157,1076,239,42.29
157,1039,180,20.48
157,1044,139,33.29
158,1007,239,28.42
158,1082,119,33.79
158,1089,241,30.08
158,1035,195,11.31
159,1044,239,33.29
159,1021,44,35.44
159,1066,191,12.77
160,1059,69,44.99
161,1056,115,26.23
161,1076,50,42.29
161,1062,85,32.58
162,1100,200,25.9
162,1067,84,29.2
162,1030,162,38.96
163,1034,108,23.56
164,1083,228,6.61
164,1100,71,25.9
164,1093,190,33.49
164,1004,119,12.0
164,1086,231,43.45
165,1045,79,24.32
165,1053,49,31.34
166,1076,112,42.29
166,1003,99,9.26
166,1041,73,42.37
166,1026,198,10.82
167,1046,246,11.94
167,1034,125,23.56
167,1059,152,44.99
168,1046,122,14.63
168,1085,203,24.91
168,1054,110,6.19
169,1024,72,8.62
169,1028,66,32.0
169,1094,181,13.56
169,1084,29,30.52
170,1035,198,11.31
171,1052,13,18.87
171,1030,76,38.96
171,1095,128,28.95
172,1036,247,22.32
172,1008,219,24.79
172,1038,195,12.81
173,1030,211,38.96
174,1092,163,44.98
174,1099,34,8.18
174,1022,25,8.68
174,1002,60,20.0
175,1041,21,42.37
175,1008,195,24.79
175,1009,199,6.37
175,1035,173,11.31
175,1057,195,36.06
176,1064,215,38.32
176,1078,192,26.78
176,1049,68,35.73
176,1052,43,18.87
177,1028,94,32.0
177,1034,244,23.56
178,1050,60,7.66
178,1092,50,44.98
179,1012,108,34.7
179,1001,162,15.0
179,1072,237,40.0
180,1078,215,26.78
180,1017,195,41.34
180,1054,42,6.19
180,1068,30,28.28
180,1077,18,18.06
181,1093,125,33.49
182,1022,78,8.68
182,1024,113,9.32
182,1098,164,43.36
182,1071,73,10.24
183,1022,55,8.68
184,1065,110,34.31
184,1040,178,32.55
184,1061,107,11.23
184,1019,51,44.68
185,1007,52,24.81
185,1099,78,8.18
185,1025,97,14.15
186,1081,161,11.2
186,1053,158,31.34
187,1002,180,20.0
187,1016,83,36.91
187,1091,58,19.93
187,1030,118,38.96
187,1055,74,10.62
188,1072,155,40.0
188,1046,77,14.63
188,1066,245,12.77
188,1013,152,38.15
189,1019,245,44.68
189,1035,124,11.31
189,1059,202,44.99
189,1065,161,34.31
189,1098,214,43.36
190,1082,109,27.43
190,1024,156,9.32
191,1066,241,12.77
191,1008,30,24.79
192,1060,126,41.78
193,1046,235,13.36
193,1022,178,8.68
193,1080,155,22.84
194,1057,99,36.06
194,1038,209,13.14
195,1082,64,33.79
196,1011,196,43.43
196,1005,165,18.0
196,1093,52,30.27
196,1092,236,41.56
196,1089,93,30.08
197,1100,100,25.9
197,1020,237,9.68
197,1023,25,5.16
197,1098,152,43.36
198,1099,45,8.18
198,1056,66,21.96
199,1029,237,10.19
199,1084,163,30.52
200,1045,119,26.23
200,1077,199,18.06
200,1095,135,28.95
201,1077,96,18.06
201,1057,223,36.06
201,1050,54,7.66
201,1052,26,18.87
202,1091,241,19.93
202,1015,229,30.87
203,1026,149,10.82
204,1016,113,36.91
